Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.12039418269804192,0.1620646888216135,0.14311455923839303,1.1324123113963152,0.6590535756220353,0.9175912503539103,-0.36500480169402516,0.3298427366962846,-0.024040050687055167,-0.7123342348010518,19.493422451853633
ERC,GARCH,0.12089852263523437,0.16218179121562223,0.15706444233528047,1.0325812055501264,0.6614759478666618,0.9206106332746598,-0.36438120203960445,0.33179132721038107,-0.02405555380431705,-0.7216332043990401,19.22932882708487
ERC,Historical,0.12623328158917846,0.1651052617659425,0.17404792711853764,0.9486195239400661,0.6813836904508034,0.9543576630056233,-0.36907637460993836,0.3420248227012342,-0.024361174612789513,-0.5919223112549573,19.737657129066363
HRP,DCC,0.11157758685275976,0.1540614480034713,0.13485247587412583,1.1424443415282604,0.6337662031825859,0.8773156469124609,-0.3465561009198702,0.32196110977875536,-0.02290705322755588,-0.8286036688189371,19.408650071283866
HRP,GARCH,0.1125179589933829,0.15422197489608797,0.14761871665635684,1.0447318496549656,0.6387323655252324,0.8853387843904128,-0.34678299546651425,0.3244621577883791,-0.022922085858237323,-0.7926528124523058,18.973877319151967
HRP,Historical,0.11900541894519967,0.15885120762143512,0.1641725056723352,0.967587154565816,0.6612318969592923,0.9247787724536218,-0.3581784379731948,0.33225176707623516,-0.023476912967437556,-0.5878218219907596,19.972889847059896
MVP,DCC,0.09077330557824426,0.12941800206316934,0.0979327417348297,1.3214988140900985,0.5813853946739773,0.7934539864481711,-0.29614904947728493,0.3065122300357297,-0.01869937470535895,-1.2832678935862345,23.267837164351675
MVP,GARCH,0.08388654030295317,0.13088855967225865,0.10445739714464562,1.2530329421382473,0.5278759000040053,0.7215362572028401,-0.2911440942896467,0.28812722616828373,-0.018977758690764783,-1.1963060876480047,22.0629566672958
MVP,Historical,0.08452868902943944,0.13275411459741598,0.11883350607542571,1.1171438004459333,0.5267812532511948,0.7235167948333849,-0.3015668096049967,0.280298382770167,-0.019093192270975935,-0.9783951591199077,20.97772003398162
Naive,N/A,0.138045689855959,0.1773908328164267,0.19119663409474755,0.9277926552227934,0.7049267920042634,0.9914595018460982,-0.38149559690363566,0.3618539531685049,-0.02622045145611295,-0.49549614258360475,17.849228117425064
