Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.0709580929004121,0.17976541307325528,0.149733304433676,1.200570666313465,-146.82126225065258,0.00013741350877251825,0.03003245501406997,0.073422840075772,0.37466920080266886,0.5186957703872693,-0.5446572972298739,0.13028025744133945,-0.027810352982075317,-0.3645778743021802,13.971453661618245
ERC,GARCH,0.07200800777941962,0.18041515381268036,0.1579762557362202,1.1420396880017676,-144.05305900515148,0.00014205942319045202,0.029738347640354136,0.0721750724208324,0.37939330555977707,0.5257078687861818,-0.5411806642009723,0.13305724417507792,-0.027881024222711572,-0.35134751160254246,13.724806338614648
ERC,Historical,0.0745139079256456,0.18512615132408874,0.1792556998119842,1.0327490368131216,-142.84980446729801,0.00020011700910724993,0.03168228989263746,0.013943868624726413,0.38701120862136107,0.5376392522052718,-0.5506973243188229,0.13530828031135708,-0.028584452360191533,-0.32961286118723904,13.34203928727478
HRP,DCC,0.06907044786866035,0.16783361125847526,0.1385104382425047,1.21170370542494,-146.82126225065258,0.00013741350877251825,,0.17711510104762443,0.3784068455232299,0.5218509763100021,-0.5129869953610899,0.13464366249682777,-0.025931735481920362,-0.4154349807197081,15.421634565949248
HRP,GARCH,0.07006508352248653,0.16845893294636266,0.14646991558829373,1.1501265107564953,-144.05305900515148,0.00014205942319045202,,0.14814323157287604,0.38313069036359815,0.5291856932120635,-0.5105061465574464,0.13724630740484575,-0.025986455666853283,-0.39155856074960727,15.131086660168297
HRP,Historical,0.07416735148926157,0.17612885658763702,0.16921881944500897,1.0408349211115588,-142.84980446729801,0.00020011700910724993,,0.020827290460687348,0.3956907760023128,0.5489838047168103,-0.5285468649136074,0.14032313199205987,-0.027207897095601754,-0.3564210667342147,14.211638890266052
MVP,DCC,0.07021206629187438,0.14183844320824943,0.11285522576971328,1.2568176815992362,-146.82126225065258,0.00013741350877251825,,0.5320695683700536,0.4267164476144428,0.5920532302235186,-0.42442628030444096,0.16542817810789487,-0.021426008104784212,-0.2922093185542599,18.12047040036023
MVP,GARCH,0.06671403651960262,0.14382796611810814,0.116994353328461,1.2293581871794437,-144.05305900515148,0.00014205942319045202,,0.5828249363577604,0.40000077313580784,0.5553220251509944,-0.42220237511385306,0.1580143562707628,-0.021689482608364362,-0.24057582239296915,17.55976242673123
MVP,Historical,0.06672488274198773,0.14603537255000318,0.13776465867319398,1.0600350914121526,-142.84980446729801,0.00020011700910724993,,0.013630658242443543,0.3962456225120232,0.5513927702982235,-0.41314173906723795,0.16150603154412438,-0.021898019007088702,-0.271533480842721,16.83563854342251
Naive,N/A,0.07419493471502103,0.1949828735510041,0.19049326235173414,1.0235683464278131,-142.84980446729801,0.00020011700910724993,,0.014199001697525119,0.37556138856404364,0.5224157516718262,-0.5723881257469512,0.12962346942155487,-0.030077337743661923,-0.30489944193445506,12.27156701839753
