Date,Model,Covariance Type,Asset,Weight
2002-02-25,Naive,N/A,.TRXFLDUSPE1,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPF1,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPF4,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPH1,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPH2,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPI1,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPI2,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPI4,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPM2,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPM3,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPN1,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPT1,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPU1,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPY2,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPY3,0.0625
2002-02-25,Naive,N/A,.TRXFLDUSPY4,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPE1,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPF1,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPF4,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPH1,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPH2,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPI1,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPI2,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPI4,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPM2,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPM3,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPN1,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPT1,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPU1,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPY2,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPY3,0.0625
2002-03-26,Naive,N/A,.TRXFLDUSPY4,0.0625
2002-04-24,Naive,N/A,.TRXFLDUSPE1,0.0625
2002-04-24,Naive,N/A,.TRXFLDUSPF1,0.0625
2002-04-24,Naive,N/A,.TRXFLDUSPF4,0.0625
2002-04-24,Naive,N/A,.TRXFLDUSPH1,0.0625
2002-04-24,Naive,N/A,.TRXFLDUSPH2,0.0625
2002-04-24,Naive,N/A,.TRXFLDUSPI1,0.0625
2002-04-24,Naive,N/A,.TRXFLDUSPI2,0.0625
2002-04-24,Naive,N/A,.TRXFLDUSPI4,0.0625
